id;Tgl;Kab/Kota;Tingkat Harga;BMB;BMK;BPI;BPL;BNC;CMB;CMK;CRH;CRM;KBK;KTG;KLB;KLG;MTM;TMT;WRT;CHB
28945;15 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;21000;0;10000;0;2500;0;11000;6000;0
28994;16 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;14000;21000;0;10000;0;2500;0;11000;6000;0
29051;17 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;14000;21000;0;10000;0;2500;0;11000;6000;0
29070;18 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;14000;21000;0;10000;0;2500;0;11000;6000;0
29182;21 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;22000;0;10000;0;2500;0;11000;6000;0
29232;22 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;22000;0;10000;0;2500;0;11000;6000;0
29316;24 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;22000;0;10000;0;2500;0;11000;6000;0
29320;23 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;22000;0;10000;0;2500;0;11000;6000;0
29376;25 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;22000;0;10000;0;2500;0;11000;20000;0
29549;28 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;17000;21000;0;10000;0;4000;0;11000;6500;0
29580;29 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;17000;21000;0;10000;0;4000;0;11000;6500;0
29725;02 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;17000;21000;0;10000;0;4000;0;11000;6500;0
29809;05 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;30000;0;10000;0;5000;0;11000;6500;0
29841;06 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;30000;0;10000;0;5000;0;11000;6500;0
29926;07 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;30000;0;10000;0;8000;0;11000;6500;0
30022;08 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;30000;0;10000;0;5000;0;11000;6500;0
30046;09 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;30000;0;10000;0;5000;0;11000;6500;0
30152;13 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;31000;0;10000;0;5000;0;11000;6500;0
30154;12 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;31000;0;10000;0;5000;0;11000;6500;0
30207;14 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;31000;0;10000;0;5000;0;11000;6500;0
30211;01 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;18000;17000;21000;0;10000;0;4000;0;11000;6500;0
30296;15 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;31000;0;10000;0;5000;0;11000;6500;0
30324;16 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;21000;31000;0;10000;0;5000;0;11000;6500;0
30398;19 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;22000;21000;31000;0;10000;0;5000;0;11000;6500;0
